iter	Passed	Remaining
744	1558	533
745	1559	531
746	1564	530
747	1566	527
748	1568	525
749	1570	523
750	1572	521
751	1573	518
752	1576	516
753	1578	515
754	1580	513
755	1582	510
756	1584	508
757	1586	506
758	1587	504
759	1591	502
760	1594	500
761	1596	498
762	1597	496
763	1599	494
764	1601	491
765	1602	489
766	1604	487
767	1607	485
768	1610	483
769	1611	481
770	1613	479
771	1614	476
772	1616	474
773	1618	472
774	1622	470
775	1626	469
776	1627	467
777	1628	464
778	1630	462
779	1631	460
780	1633	458
781	1636	456
782	1639	454
783	1641	452
784	1642	449
785	1643	447
786	1645	445
787	1647	443
788	1649	441
789	1655	440
790	1656	437
791	1658	435
792	1660	433
793	1662	431
794	1663	429
795	1667	427
796	1670	425
797	1672	423
798	1674	421
799	1675	418
800	1677	416
801	1679	414
802	1683	412
803	1685	410
804	1687	408
805	1688	406
806	1690	404
807	1691	401
808	1693	399
809	1695	397
810	1699	396
811	1701	393
812	1702	391
813	1704	389
814	1705	387
815	1707	385
816	1709	382
817	1713	381
818	1716	379
819	1718	377
820	1720	375
821	1721	372
822	1723	370
823	1725	368
824	1728	366
825	1731	364
826	1733	362
827	1734	360
828	1736	358
829	1737	355
830	1739	353
831	1743	352
832	1746	350
833	1747	347
834	1750	345
835	1752	343
836	1754	341
837	1757	339
838	1760	337
839	1762	335
840	1764	333
841	1766	331
842	1767	329
843	1775	328
844	1777	326
845	1779	323
846	1780	321
847	1782	319
848	1784	317
849	1787	315
850	1790	313
851	1791	311
852	1793	309
853	1794	306
854	1796	304
855	1797	302
856	1799	300
857	1802	298
858	1805	296
859	1807	294
860	1809	292
861	1810	289
862	1812	287
863	1813	285
864	1815	283
865	1818	281
866	1820	279
867	1822	277
868	1823	274
869	1825	272
870	1826	270
871	1828	268
872	1829	266
873	1833	264
874	1836	262
875	1837	260
876	1838	257
877	1840	255
878	1842	253
879	1844	251
880	1845	249
881	1848	247
882	1851	245
883	1853	243
884	1854	241
885	1856	238
886	1857	236
887	1859	234
888	1860	232
889	1863	230
890	1865	228
891	1867	226
892	1869	223
893	1870	221
894	1872	219
895	1873	217
896	1875	215
897	1878	213
898	1882	211
899	1883	209
900	1885	207
901	1886	204
902	1887	202
903	1889	200
904	1891	198
905	1894	196
906	1897	194
907	1899	192
908	1900	190
909	1902	188
910	1903	185
911	1905	183
912	1909	181
913	1911	179
914	1913	177
915	1915	175
916	1916	173
917	1918	171
918	1919	169
919	1922	167
920	1925	165
921	1927	163
922	1929	160
923	1930	158
924	1931	156
925	1933	154
926	1935	152
927	1937	150
928	1940	148
929	1941	146
930	1943	144
931	1944	141
932	1945	139
933	1947	137
934	1949	135
935	1950	133
936	1953	131
937	1955	129
938	1956	127
939	1958	125
940	1959	122
941	1961	120
942	1962	118
943	1964	116
944	1965	114
945	1968	112
946	1969	110
947	1971	108
948	1972	106
949	1974	103
950	1975	101
951	1977	99
952	1978	97
953	1980	95
954	1982	93
955	1984	91
956	1985	89
957	1986	87
958	1988	85
959	1989	82
960	1991	80
961	1992	78
962	1993	76
963	1995	74
964	1997	72
965	1999	70
966	2000	68
967	2002	66
968	2003	64
969	2005	62
970	2006	59
971	2007	57
972	2009	55
973	2010	53
974	2012	51
975	2013	49
976	2015	47
977	2016	45
978	2017	43
979	2019	41
980	2020	39
981	2021	37
982	2023	34
983	2024	32
984	2026	30
985	2028	28
986	2030	26
987	2031	24
988	2032	22
989	2034	20
990	2035	18
991	2037	16
992	2038	14
993	2040	12
994	2042	10
995	2044	8
996	2045	6
997	2046	4
998	2048	2
999	2049	0
